'y-axis saved as y
'Q,PG3_59701-1.xye,SigmaYobs,Ycalc,Diff
25.815322,79.0398367,2.79888289,0,0
25.7946339,79.9375627,2.81023835,0,0
25.7739625,78.0781705,2.78024585,0,0
25.7533077,78.0833308,2.77707147,0,0
25.7326695,78.9622424,2.78740148,0,0
25.7120479,80.1042958,2.80259326,0,0
25.6914428,78.4746125,2.77794962,0,0
25.6708544,78.9498935,2.78149462,0,0
25.6502824,79.812735,2.78931611,0,0
25.629727,78.9909418,2.77454973,0,0
25.6091881,80.2283209,2.78957738,0,0
25.5886657,77.9456964,2.75466932,0,0
25.5681597,78.9566175,2.76671417,0,0
25.5476703,79.4248609,2.77103143,0,0
25.5271973,79.4858998,2.77108893,0,0
25.5067408,78.377587,2.75388042,0,0
25.4863007,79.7484623,2.77037119,0,0
25.4658771,79.2643419,2.76173008,0,0
25.4454698,79.1878748,2.75846747,0,0
25.425079,78.7883838,2.74972126,0,0
25.4047045,79.4107166,2.75694979,0,0
25.3843464,78.7067127,2.74494343,0,0
25.3640046,79.6064751,2.75386466,0,0
25.3436792,78.8470425,2.73894759,0,0
25.3233702,78.9422407,2.7384129,0,0
25.3030774,78.6336311,2.7341878,0,0
25.2828009,78.9161366,2.736955,0,0
25.2625408,79.187563,2.73671494,0,0
25.2422969,79.1629964,2.73282567,0,0
25.2220693,78.7714883,2.72557401,0,0
25.2018579,79.6538155,2.73865917,0,0
25.1816628,78.3992401,2.72189297,0,0
25.1614839,79.0978995,2.72845113,0,0
25.1413212,79.6830599,2.73189197,0,0
25.1211747,78.9579585,2.7165542,0,0
25.1010444,79.2699022,2.71703076,0,0
25.0809302,79.5683335,2.71837391,0,0
25.0608323,80.1253335,2.72385216,0,0
25.0407504,78.6807331,2.70371459,0,0
25.0206847,77.2859826,2.68143232,0,0
25.0006352,79.0362638,2.70359025,0,0
24.9806017,78.9282458,2.70241823,0,0
24.9605843,78.5909358,2.6937343,0,0
24.940583,79.0964344,2.69530805,0,0
24.9205978,79.0980105,2.69134926,0,0
24.9006286,78.8184463,2.68577596,0,0
24.8806755,79.5128068,2.69546619,0,0
24.8607384,78.1708919,2.67499484,0,0
24.8408173,77.9778165,2.66855901,0,0
24.8209122,80.0093331,2.69331386,0,0
24.8010232,78.1769563,2.66348334,0,0
24.7811501,79.0412923,2.67426049,0,0
24.7612929,77.8026911,2.65781744,0,0
24.7414517,78.5300287,2.66656941,0,0
24.7216265,77.4096415,2.64801707,0,0
24.7018172,78.7259613,2.66474899,0,0
24.6820238,77.351733,2.64400239,0,0
24.6622463,78.0840132,2.65194148,0,0
24.6424846,78.7890763,2.65780624,0,0
24.6227389,78.1854728,2.64599002,0,0
24.603009,79.1021471,2.65615395,0,0
24.583295,78.8911698,2.65317556,0,0
24.5635968,78.9546844,2.65206805,0,0
24.5439144,78.111767,2.63769822,0,0
24.5242479,78.362266,2.64096132,0,0
24.5045971,78.522788,2.6427388,0,0
24.4849621,79.2823412,2.65207935,0,0
24.4653429,78.579677,2.64173951,0,0
24.4457394,79.3850274,2.65054323,0,0
24.4261518,80.181898,2.65665922,0,0
24.4065798,79.0275778,2.63823559,0,0
24.3870235,78.0380899,2.62424762,0,0
24.367483,79.9895375,2.64948265,0,0
24.3479582,79.1536516,2.63527305,0,0
24.328449,78.243707,2.62171187,0,0
24.3089556,78.5907362,2.62388036,0,0
24.2894777,77.7319653,2.60816979,0,0
24.2700155,79.5493762,2.63021337,0,0
24.250569,79.5135437,2.63009135,0,0
24.2311381,78.0377006,2.60982806,0,0
24.2117228,77.7077993,2.60131718,0,0
24.1923231,79.1217957,2.61602985,0,0
24.1729389,78.6138111,2.60442772,0,0
24.1535704,79.4611773,2.61187391,0,0
24.1342173,77.6500092,2.58508205,0,0
24.1148799,77.4038984,2.58193985,0,0
24.0955579,78.5161503,2.59633129,0,0
24.0762516,78.1953493,2.58895176,0,0
24.0569607,78.8603925,2.59629656,0,0
24.0376852,78.4691853,2.5905911,0,0
24.0184253,78.9291773,2.59602028,0,0
23.9991809,79.107009,2.5956678,0,0
23.9799519,78.5796003,2.58624715,0,0
23.9607383,78.6900542,2.58367255,0,0
23.9415402,78.352405,2.5766526,0,0
23.9223575,77.7116664,2.56757806,0,0
23.9031902,79.2184073,2.58604396,0,0
23.8840383,78.163393,2.57023258,0,0
23.8649018,79.1541349,2.58074743,0,0
23.8457807,79.1429486,2.5781276,0,0
23.8266749,78.1605306,2.56211829,0,0
23.8075845,78.6698283,2.5658121,0,0
